feature,importance_gain,importance_split
geo3_collapse_x_foundation_r,523575.5359393954,17459
geo3_p_grade2,368412.2686621547,33166
geo3_p_grade1,347835.9889317751,21147
geo3_collapse_x_weak_material,285057.0522117317,15736
geo3_p_grade3,214143.4562791586,20681
geo2_p_grade1,151453.55926030874,16110
age_x_height,145584.1658064425,50592
geo2_p_grade3,130696.68995165825,15584
geo2_p_grade2,115240.33915144205,16675
area_x_floors,113253.88481086493,45264
age,99895.3420497179,21480
area_percentage,77699.08249291778,30760
geo1_p_grade3,55508.24743163586,9805
ground_emb_1,44198.48815590143,1399
floors_x_height,41578.432550281286,15726
geo1_p_grade1,36919.33012145758,10994
geo1_p_grade2,35990.88080191612,11770
geo3_emb_18,29222.22993248701,9129
geo3_emb_22,28802.135984778404,9019
geo3_emb_24,28561.780599683523,9057
geo3_emb_47,28516.039546579123,8803
geo3_emb_27,28477.76224452257,8925
geo3_emb_3,28423.35354924202,9204
geo3_emb_30,28417.402160197496,9092
geo3_emb_38,28278.5560669899,9109
geo3_emb_25,28234.98417210579,9073
geo3_emb_35,28147.02380567789,8833
geo3_emb_14,28062.72143319249,8866
geo3_emb_48,28022.73933109641,8896
geo3_emb_40,28013.823398053646,9019
geo3_emb_32,27834.343261301517,8977
geo3_emb_21,27756.116779863834,8897
other_floor_emb_0,27684.402753084898,1387
geo3_emb_37,27645.831382781267,8825
geo3_emb_39,27643.447712004185,8731
geo3_emb_8,27601.06528106332,8809
geo3_emb_41,27563.779500365257,8903
geo3_emb_36,27539.993351846933,8888
geo3_emb_29,27513.995844721794,8815
geo3_emb_46,27462.077854663134,8868
geo3_emb_13,27244.908110797405,8741
geo3_emb_45,27213.739222049713,8698
geo3_emb_0,27209.494924634695,8714
geo3_emb_19,27130.305931955576,8941
geo3_emb_43,27094.311363756657,8791
geo3_emb_4,27013.866464287043,8541
geo3_emb_34,26977.114290952682,8816
geo3_emb_49,26938.907096266747,8608
geo3_emb_28,26900.383212178946,8673
geo3_emb_26,26793.814124584198,8654
geo3_emb_10,26728.178575098515,8781
geo3_emb_2,26701.70281919837,8647
geo3_emb_15,26651.900729626417,8750
geo3_emb_5,26636.0283870399,8648
geo3_emb_23,26602.63405764103,8580
geo3_emb_1,26592.350981384516,8696
geo3_emb_9,26512.362061679363,8528
geo3_emb_11,26501.771375209093,8516
geo3_emb_6,26438.443650990725,8720
geo3_emb_20,26424.53783789277,8570
geo3_emb_7,26371.020175904036,8570
geo3_emb_42,26360.342803955078,8688
geo3_emb_44,26271.48822593689,8447
geo3_emb_12,26245.35780030489,8662
geo3_emb_33,26176.75352960825,8617
geo3_emb_17,26159.7298822999,8573
geo3_emb_16,25880.11759918928,8589
geo3_emb_31,25466.78464925289,8338
height_percentage,25243.637444138527,9033
count_families,21682.11172351241,4386
ground_emb_2,19138.97803658247,970
geo3_collapse_x_foundation_i,19104.665572702885,1583
foundation_emb_0,19069.806276202202,755
geo2_emb_46,18599.624996960163,5705
geo2_emb_48,18316.224672406912,5465
geo2_emb_3,18273.725601017475,5515
geo2_emb_28,18101.874620854855,5338
geo2_emb_36,18009.163901418447,5241
geo2_emb_22,17973.566397428513,5424
geo2_emb_32,17880.39346805215,5465
geo2_emb_43,17865.980067670345,5241
geo2_emb_14,17862.863050431013,5291
geo2_emb_45,17861.285358279943,5494
geo2_emb_13,17827.562154322863,5525
geo2_emb_25,17823.924972951412,5402
geo2_emb_8,17767.5475256145,5113
geo2_emb_0,17760.041137963533,5426
geo2_emb_49,17758.939030587673,5504
geo2_emb_24,17734.577798843384,5286
geo2_emb_29,17732.336560815573,5266
geo2_emb_23,17731.499846041203,5434
geo2_emb_40,17693.43599498272,5262
geo2_emb_6,17682.76816648245,5294
geo2_emb_42,17668.0951474905,5401
geo2_emb_11,17593.340950012207,5410
geo2_emb_26,17471.61470475793,5364
geo2_emb_34,17449.35740017891,5309
geo2_emb_33,17434.405970662832,5241
geo2_emb_4,17387.856299102306,5256
geo2_emb_12,17197.163740068674,5164
geo2_emb_27,17159.377561420202,5132
geo2_emb_47,17157.884221076965,5235
geo2_emb_9,17141.115109801292,5108
geo2_emb_31,17125.250995218754,5111
geo2_emb_39,17087.951818555593,5260
geo2_emb_35,17087.46791675687,5158
geo2_emb_19,17063.157124310732,5176
geo2_emb_21,17014.35778799653,5159
geo2_emb_10,16974.811842530966,4958
geo2_emb_44,16971.696968764067,5267
geo2_emb_38,16957.637765288353,5230
geo2_emb_41,16897.725827544928,5158
