feature,importance_gain,importance_split
geo3_collapse_x_foundation_r,601633.4435609579,1851
geo3_p_grade1,458552.78428682685,2853
geo3_p_grade2,438179.75992166996,3147
geo3_collapse_x_weak_material,302588.62445530295,1988
geo3_p_grade3,283363.539807111,2824
geo2_p_grade1,103419.10103231668,1167
age,58941.153871804476,3670
age_x_height,44226.006852954626,4437
geo2_p_grade3,36774.4778740406,1013
ground_emb_1,30531.049205332994,631
foundation_emb_0,26169.557828485966,419
area_x_floors,24199.24229386449,3765
other_floor_emb_0,23294.43901196122,774
geo2_p_grade2,20788.40129482746,949
ground_emb_2,17003.508020043373,381
geo1_p_grade3,16588.429741501808,375
geo3_collapse_x_foundation_i,15132.276104807854,391
area_percentage,14913.00932699442,2692
foundation_emb_1,13601.238561630249,371
count_families,12810.833589851856,1284
material_strength_score,9885.782163381577,391
floors_x_height,9294.98866724968,1659
geo3_collapse_x_foundation_u,8399.902186691761,681
has_strong_material,8079.688959002495,470
roof_emb_1,7270.221553981304,568
geo1_emb_6,6760.093292415142,438
has_superstructure_mud_mortar_stone,6590.828219652176,304
height_percentage,6081.21803471446,1177
has_superstructure_mud_mortar_brick,6025.168564975262,307
geo1_p_grade1,5961.720667123795,385
geo3_emb_47,5614.653497219086,999
geo3_emb_37,5509.2229878902435,1036
geo3_emb_27,5358.644409418106,987
geo3_emb_26,5253.064425468445,998
geo3_emb_8,5247.914617240429,963
geo3_emb_30,5243.440613299608,991
geo3_emb_22,5232.523941427469,1004
geo3_emb_13,5226.081211686134,994
geo3_emb_39,5220.870033740997,992
has_secondary_use,5212.824378609657,595
geo3_emb_1,5162.329379469156,964
geo3_emb_49,5116.212301790714,979
geo3_emb_14,5068.554000258446,982
geo3_emb_18,5059.629498302937,953
geo3_emb_3,5046.954727053642,946
geo3_emb_45,5031.426888465881,961
geo3_emb_43,5030.038756817579,977
geo3_emb_21,5029.971888720989,959
geo3_emb_35,5025.963383555412,948
geo3_emb_32,5022.44567835331,977
geo3_emb_41,5007.857741892338,943
geo1_p_grade2,5002.451422154903,458
geo3_emb_20,4995.0139881670475,966
geo3_emb_46,4991.660911083221,942
geo3_emb_33,4989.858582913876,938
geo3_emb_24,4962.042910426855,947
geo3_emb_44,4950.284735739231,918
geo3_emb_40,4946.410940229893,938
geo3_emb_12,4906.139605045319,961
geo3_emb_36,4896.057593673468,957
geo3_emb_19,4878.03682115674,895
geo3_emb_38,4868.222192823887,930
geo3_emb_16,4862.731014430523,943
geo3_emb_29,4850.71887087822,907
geo3_emb_42,4849.042367339134,901
geo3_emb_25,4841.108789503574,920
geo3_emb_31,4831.397482126951,925
geo3_emb_10,4826.030311226845,938
geo3_emb_0,4815.892010122538,911
geo3_emb_5,4793.436437129974,925
geo3_emb_4,4770.9942872822285,919
geo3_emb_34,4738.251608401537,929
geo3_emb_48,4698.933853387833,905
geo3_emb_2,4698.58303835988,929
geo3_emb_23,4675.306952834129,929
geo3_emb_11,4672.002492487431,892
geo3_emb_6,4663.432986289263,899
geo3_emb_17,4555.448726475239,864
geo3_emb_9,4524.793921738863,885
geo3_emb_15,4504.374798685312,871
geo3_emb_28,4465.012628048658,861
geo2_emb_3,4422.061587035656,758
geo2_emb_43,4400.807252168655,739
geo2_emb_36,4387.384065359831,749
geo2_emb_16,4357.738374322653,721
geo3_collapse_x_foundation_w,4290.312321007252,486
geo2_emb_10,4278.217079788446,669
n_superstructure_types,4236.409290790558,602
geo3_emb_7,4195.231273114681,828
geo2_emb_23,4145.503541082144,700
geo2_emb_40,4123.003565013409,732
