feature,importance_gain,importance_split
geo3_collapse_x_rc,4066.2168741226196,444
geo2_emb_13,4030.332541525364,676
geo2_emb_31,4026.465828061104,734
geo2_emb_9,3989.776014715433,680
geo2_emb_6,3944.233510673046,696
geo2_emb_28,3931.8822836875916,664
geo1_emb_9,3891.6277554035187,396
geo2_emb_11,3872.515460371971,679
geo2_emb_14,3871.372503757477,664
geo2_emb_20,3864.1668605208397,658
geo2_emb_34,3857.35429251194,657
geo2_emb_24,3856.2880306839943,673
geo2_emb_12,3855.969296693802,672
geo2_emb_33,3846.2584331035614,666
geo2_emb_22,3839.5072937607765,687
geo2_emb_8,3836.7953006625175,675
geo2_emb_0,3832.1385046243668,639
geo2_emb_47,3819.0768234729767,663
geo2_emb_48,3815.6171805262566,669
geo2_emb_5,3805.0975998938084,676
geo2_emb_41,3785.7259753644466,687
geo2_emb_42,3784.125203847885,645
geo2_emb_39,3753.470689892769,659
geo2_emb_27,3691.2398723959923,668
geo2_emb_29,3682.439596951008,648
geo2_emb_17,3671.297736465931,656
geo2_emb_32,3668.9346491396427,634
geo2_emb_4,3649.495863854885,664
has_weak_material,3647.0641379356384,117
geo2_emb_25,3626.3378104269505,659
geo2_emb_15,3583.785958200693,639
geo2_emb_46,3544.5898883342743,623
geo2_emb_26,3541.0730870962143,630
geo2_emb_45,3536.0480304658413,631
geo2_emb_35,3526.1702376008034,626
geo2_emb_7,3506.311581134796,647
geo2_emb_2,3495.720455944538,618
geo2_emb_30,3481.576611816883,597
geo2_emb_44,3451.4684557914734,649
geo2_emb_1,3413.9601704478264,605
geo2_emb_37,3405.4754488766193,604
geo2_emb_38,3393.1161006093025,622
geo2_emb_49,3368.2557179927826,618
geo2_emb_18,3359.3280860185623,589
has_superstructure_cement_mortar_brick,3345.792632818222,288
geo2_emb_21,3316.3178654313087,602
geo1_emb_5,3315.3138207793236,403
other_floor_emb_1,3258.767004966736,391
geo2_emb_19,3221.9164076149464,579
geo1_emb_11,3193.8845961093903,391
roof_emb_0,3136.6796746850014,411
position_emb_0,3040.138871997595,459
geo1_emb_2,2711.143794834614,366
geo1_emb_7,2583.535238236189,310
has_superstructure_stone_flag,2550.57200217247,107
geo1_emb_4,2487.065042555332,363
foundation_emb_2,2476.0678811073303,293
geo1_emb_13,2375.7834334373474,282
other_floor_emb_2,2248.244876265526,268
geo1_emb_14,2154.9938122034073,280
geo1_emb_15,2122.74352478981,247
geo1_emb_12,2104.2602884173393,304
ground_emb_0,2079.3338240385056,283
geo1_emb_10,2066.4138119220734,297
geo1_emb_3,2063.144736945629,274
count_floors_pre_eq,2048.5031595230103,287
has_superstructure_rc_engineered,2010.9649667739868,191
geo1_emb_1,1905.7735189199448,270
position_emb_1,1863.2602179050446,300
geo1_emb_0,1825.5601297616959,271
geo1_emb_8,1712.7295769453049,282
plan_emb_0,1490.2698523402214,221
position_emb_2,1453.711899280548,261
plan_emb_2,1204.5670297145844,181
has_secondary_use_agriculture,1083.7430596351624,153
has_superstructure_other,1063.4917192459106,137
has_rc,1025.4668889045715,104
plan_emb_4,997.0470910072327,164
ownership_emb_0,922.3737277984619,136
has_superstructure_timber,875.7777100801468,148
plan_emb_3,705.0607788562775,132
has_secondary_use_hotel,664.5030596256256,115
has_superstructure_cement_mortar_stone,627.7352427840233,82
land_emb_0,611.4724389314651,121
has_superstructure_adobe_mud,597.1295733451843,75
land_emb_1,589.2677793502808,103
plan_emb_1,503.723123729229,98
ownership_emb_1,431.32134318351746,72
has_secondary_use_rental,277.5526485443115,43
has_superstructure_bamboo,268.0890898704529,35
ownership_emb_2,208.8132712841034,33
has_superstructure_rc_non_engineered,197.1765501499176,22
age_unknown,135.6368908882141,25
has_secondary_use_other,122.12097096443176,25
has_secondary_use_industry,65.63824963569641,11
has_secondary_use_gov_office,0.0,0
has_secondary_use_institution,0.0,0
has_secondary_use_health_post,0.0,0
has_secondary_use_use_police,0.0,0
has_secondary_use_school,0.0,0
