geo_level_1_id,dangerous_miss_rate_run_001,dangerous_miss_rate_run_002,error_rate_run_001,error_rate_run_002,false_alarm_rate_run_001,false_alarm_rate_run_002,error_rate_delta,n_buildings
5,1.0,1.0,0.24721189591078066,0.24535315985130113,0.8238482384823849,0.8319783197831978,-0.0018587360594795321,2152
29,1.0,1.0,0.11038961038961038,0.1038961038961039,1.0,0.8571428571428571,-0.006493506493506482,308
1,0.9959839357429718,0.9959839357429718,0.24287716020551145,0.24241008874357778,0.735202492211838,0.7601246105919003,-0.00046707146193367133,2141
14,0.9953051643192489,0.9953051643192489,0.2731921110299489,0.2710007304601899,0.9685534591194969,0.9685534591194969,-0.0021913805697589828,1369
0,0.9739478957915831,0.969939879759519,0.23821339950372208,0.23852357320099254,0.9003690036900369,0.9261992619926199,0.0003101736972704605,3224
15,0.9583333333333334,0.9557291666666666,0.27512090274046214,0.2740462117141322,0.9615384615384616,0.9538461538461539,-0.0010746910263299547,1861
24,0.9369369369369369,0.954954954954955,0.2913907284768212,0.304635761589404,0.8317757009345794,0.8504672897196262,0.013245033112582794,1057
20,0.9456985967053081,0.9469188529591214,0.26850980675978864,0.26945067670261275,0.6055115137787844,0.6138165345413363,0.0009408699428241074,13817
22,0.9473684210526315,0.9458204334365325,0.23740290778729337,0.237203744274049,0.7903726708074534,0.7841614906832298,-0.00019916351324436588,5021
26,0.9255663430420712,0.9294498381877022,0.3116438356164384,0.31064958020327,0.36502493765586036,0.36097256857855364,-0.0009942554131683878,18104
30,0.9414225941422594,0.9288702928870293,0.1937732342007435,0.1937732342007435,0.8142857142857143,0.8238095238095238,0.0,2152
19,0.9411764705882353,0.9215686274509803,0.2754098360655738,0.2721311475409836,0.9459459459459459,0.972972972972973,-0.0032786885245901787,305
25,0.8936507936507937,0.8888888888888888,0.20481390684198797,0.20459104078448853,0.7891891891891892,0.7945945945945946,-0.00022286605749943789,4487
13,0.8406593406593407,0.8415750915750916,0.30115779888122807,0.30349941459607127,0.6856959589480436,0.6921103271327774,0.0023416157148432037,7687
12,0.8381818181818181,0.8327272727272728,0.2578518805738658,0.2566886390073672,0.9746835443037974,0.9810126582278481,-0.0011632415664986073,2579
9,0.8202676864244742,0.8202676864244742,0.28410190261206064,0.2873266688165108,0.72,0.7222222222222222,0.003224766204450169,3101
4,0.7683297180043384,0.7579175704989154,0.21221229817931983,0.21186877361731363,0.8221709006928406,0.836027713625866,-0.0003435245620062033,11644
23,0.7387387387387387,0.7567567567567568,0.27616926503340755,0.2795100222717149,0.9833333333333333,0.9666666666666667,0.003340757238307346,898
16,0.7622841965471447,0.7556440903054449,0.22705035971223023,0.2307913669064748,0.83125,0.89375,0.0037410071942445833,3475
2,0.7135135135135136,0.6486486486486487,0.29395973154362415,0.28053691275167786,0.8787878787878788,0.8787878787878788,-0.01342281879194629,745
28,0.6219512195121951,0.6097560975609756,0.27884615384615385,0.28365384615384615,,,0.004807692307692291,208
6,0.5866198637208342,0.5816642576915135,0.24153649167733673,0.24138284250960307,0.28134196586227195,0.28605061801059445,-0.000153649167733666,19525
3,0.505032021957914,0.5068618481244281,0.30828067841702694,0.3071167276355171,0.4029126213592233,0.41262135922330095,-0.001163950781509826,6014
11,0.5051505546751188,0.49960380348652933,0.3109700815956482,0.30930794802055,0.4013377926421405,0.43478260869565216,-0.0016621335750982014,6618
7,0.3990714948932219,0.39517177344475396,0.22874015748031495,0.22736220472440946,0.5012285012285013,0.4975429975429975,-0.0013779527559054927,15240
10,0.35239852398523985,0.3555208629009367,0.2698115349682107,0.27094686648501365,0.4431578947368421,0.4494736842105263,0.001135331516802951,17616
27,0.27957210450524583,0.27340053486936844,0.32464549630517275,0.32474535650089875,0.4369747899159664,0.45098039215686275,9.986019572599814e-05,10014
8,0.23861911987860396,0.240642387455741,0.31899100045983053,0.3184654798659923,0.4500978473581213,0.4481409001956947,-0.0005255205938382579,15223
21,0.1702127659574468,0.17064698219713417,0.26278540736372064,0.2654815064453619,0.5390625,0.5625,0.0026960990816412567,11869
18,0.0844994617868676,0.07534983853606028,0.206436420722135,0.19937205651491366,0.72,0.68,-0.007064364207221341,2548
17,0.032,0.03185840707964602,0.14772857306327955,0.14835793569058245,0.7521739130434782,0.7913043478260869,0.0006293626273028985,17478
