feature,value,label,run_id,n,error_rate,dangerous_miss_rate,grade3_recall
position,s,within settlement cluster,run_001,161554,0.25712764772150487,0.3741234287874492,0.6258765712125508
position,s,within settlement cluster,run_002,161554,0.25734429354890626,0.3737642944901238,0.6262357055098762
position,t,touching adjacent buildings,run_001,34398,0.2665852665852666,0.3042928353545123,0.6957071646454877
position,t,touching adjacent buildings,run_002,34398,0.2652189080760509,0.30213525779331896,0.697864742206681
plan_configuration,a,arc-shaped,run_001,207,0.2318840579710145,0.7692307692307693,0.23076923076923078
plan_configuration,a,arc-shaped,run_002,207,0.2318840579710145,0.7692307692307693,0.23076923076923078
plan_configuration,c,covered balconies,run_001,258,0.24806201550387597,0.6428571428571429,0.35714285714285715
plan_configuration,c,covered balconies,run_002,258,0.25193798449612403,0.6071428571428571,0.39285714285714285
plan_configuration,d,regular,run_001,200126,0.2581323766027403,0.3657447912804923,0.6342552087195077
plan_configuration,d,regular,run_002,200126,0.2583672286459531,0.36427671090679914,0.6357232890932009
plan_configuration,f,flat-shaped roof plan,run_001,19,0.21052631578947367,0.16666666666666666,0.8333333333333334
plan_configuration,f,flat-shaped roof plan,run_002,19,0.21052631578947367,0.16666666666666666,0.8333333333333334
plan_configuration,m,multiple interior extensions,run_001,35,0.2,0.75,0.25
plan_configuration,m,multiple interior extensions,run_002,35,0.22857142857142856,0.75,0.25
plan_configuration,n,non-straight walls,run_001,31,0.3225806451612903,0.5,0.5
plan_configuration,n,non-straight walls,run_002,31,0.3225806451612903,0.5,0.5
plan_configuration,o,in/out corner,run_001,123,0.2682926829268293,0.5,0.5
plan_configuration,o,in/out corner,run_002,123,0.23577235772357724,0.4444444444444444,0.5555555555555556
plan_configuration,q,U-shaped,run_001,4486,0.2739634418189924,0.25054945054945055,0.7494505494505495
plan_configuration,q,U-shaped,run_002,4486,0.2710655372269282,0.2510989010989011,0.7489010989010989
plan_configuration,s,square-shaped,run_001,274,0.2773722627737226,0.4482758620689655,0.5517241379310345
plan_configuration,s,square-shaped,run_002,274,0.2737226277372263,0.43103448275862066,0.5689655172413793
plan_configuration,u,U-shaped with courtyard,run_001,2921,0.24957206436152002,0.6442048517520216,0.3557951482479784
plan_configuration,u,U-shaped with courtyard,run_002,2921,0.2454638822321123,0.6361185983827493,0.3638814016172507
legal_ownership_status,a,administrative,run_001,4407,0.3185840707964602,0.5986577181208054,0.40134228187919463
legal_ownership_status,a,administrative,run_002,4407,0.3176764238711141,0.5946308724832214,0.4053691275167785
legal_ownership_status,r,rental,run_001,1163,0.2828890799656062,0.3245192307692308,0.6754807692307693
legal_ownership_status,r,rental,run_002,1163,0.3000859845227859,0.33653846153846156,0.6634615384615384
legal_ownership_status,v,owner-occupied,run_001,200765,0.25629467287624835,0.3637022573296648,0.6362977426703352
legal_ownership_status,v,owner-occupied,run_002,200765,0.2563046347719971,0.3621934262299932,0.6378065737700068
legal_ownership_status,w,worship / religious,run_001,2145,0.3128205128205128,0.26904055390702275,0.7309594460929772
legal_ownership_status,w,worship / religious,run_002,2145,0.3132867132867133,0.26508407517309596,0.734915924826904
