feature,importance_gain,importance_split
geo1_emb_3,4349.821302473545,882
geo1_emb_14,4149.219191133976,751
has_superstructure_cement_mortar_brick,4042.294170856476,277
geo1_emb_8,4039.8752913475037,790
geo1_emb_13,3879.1114473342896,787
geo1_emb_7,3815.0359333753586,785
geo1_emb_10,3806.2612604498863,721
geo1_emb_1,3681.938247203827,755
roof_emb_0,3597.7806334495544,720
geo3_collapse_x_rc,3509.237943947315,842
other_floor_emb_1,3470.191723048687,643
has_superstructure_mud_mortar_brick,3455.366172671318,394
geo1_emb_15,3254.9689530730247,681
foundation_emb_2,3046.9253076314926,575
position_emb_2,2986.4412326216698,710
foundation_emb_0,2930.4469978809357,358
position_emb_1,2919.1290924549103,612
ground_emb_0,2780.5079305171967,536
land_emb_0,2274.4301849603653,551
other_floor_emb_2,2258.1113032102585,437
plan_emb_2,2202.199959784746,442
plan_emb_0,2111.2812319993973,404
plan_emb_1,1793.1463105082512,497
has_superstructure_other,1688.1634541153908,263
has_superstructure_rc_engineered,1554.1394270062447,276
plan_emb_4,1514.497797369957,294
has_superstructure_stone_flag,1466.1983292102814,237
has_superstructure_timber,1337.7122948169708,277
count_floors_pre_eq,1303.4195731282234,258
has_secondary_use_agriculture,1276.1022304296494,208
land_emb_1,1261.6453843712807,295
has_weak_material,1257.8632280826569,43
ownership_emb_1,1211.7760066986084,283
ownership_emb_0,1025.7852824926376,224
plan_emb_3,959.446778178215,234
has_secondary_use_hotel,826.3731623888016,143
has_superstructure_adobe_mud,638.861997961998,150
has_superstructure_cement_mortar_stone,612.1353622674942,118
has_secondary_use_rental,580.0677602291107,143
ownership_emb_2,427.6721283197403,103
age_unknown,386.7589408159256,101
has_superstructure_bamboo,369.36300015449524,81
has_secondary_use_other,318.9890797138214,85
has_secondary_use_industry,252.30027091503143,65
has_rc,180.7933485507965,34
has_superstructure_rc_non_engineered,101.5690701007843,15
has_secondary_use_institution,29.63371992111206,11
has_secondary_use_school,5.351679801940918,2
has_secondary_use_use_police,0.0,0
has_secondary_use_health_post,0.0,0
has_secondary_use_gov_office,0.0,0
