iter	Accuracy	MultiClass
73	0.7350837726	0.5936966682
74	0.7351605182	0.5934516276
75	0.7352084842	0.5930989717
76	0.7354099414	0.5928701256
77	0.7353619754	0.5927021873
78	0.7354962802	0.5924285884
79	0.7356977374	0.5921543994
80	0.7357409068	0.59183205
81	0.7359039913	0.5916426998
82	0.7359903301	0.5913483987
83	0.7360862621	0.5911318744
84	0.7360526859	0.590881912
85	0.7360334995	0.59076148
86	0.7360334995	0.5904886455
87	0.7362253635	0.5900700332
88	0.7363500751	0.5898087694
89	0.7365994983	0.5894509786
90	0.7367721759	0.5892839657
91	0.7367242099	0.5890678975
92	0.7368729045	0.5885687156
93	0.7369736331	0.5883792506
94	0.7369640399	0.5883023825
95	0.7370120059	0.58812005
96	0.7371654971	0.5876905251
97	0.7374484965	0.5871264774
98	0.7375012591	0.5869812662
99	0.7375732081	0.5866838235
100	0.7376547503	0.5864849425
101	0.7376691401	0.58628942
102	0.7377458857	0.5861208719
103	0.7378322245	0.5858592155
104	0.7379233599	0.5856777299
105	0.7380336817	0.5854830098
106	0.7381344103	0.5853423462
107	0.7381392069	0.5852152617
108	0.7381056307	0.5850787558
109	0.7383166811	0.5848549417
110	0.7386284601	0.5846274195
111	0.738810731	0.5842389987
112	0.7390601542	0.5839151062
113	0.7391560862	0.5836969454
114	0.7392951876	0.5835395183
115	0.7394870516	0.5832624278
116	0.7395829836	0.5828525005
117	0.7399283388	0.5825534706
118	0.740177762	0.5822222802
119	0.7402545076	0.5818307662
120	0.7401729654	0.5815900559
121	0.740345643	0.5814265228
122	0.740513524	0.5812111171
123	0.7406142526	0.5810304776
124	0.7408157098	0.5806999607
125	0.7409979806	0.5803913027
126	0.7410075738	0.5801326091
127	0.7410219636	0.5799464582
128	0.7410843194	0.5798154668
129	0.7412042344	0.5795649137
130	0.7414104882	0.5792627767
131	0.7414824372	0.578981332
132	0.7415735727	0.5788155039
133	0.7416407251	0.5785865712
134	0.7419045381	0.5783879089
135	0.7419093347	0.5781394746
136	0.7421779443	0.5778963125
137	0.7422738763	0.5777736802
138	0.7425137063	0.5774849864
139	0.7425328927	0.5772295053
140	0.7424801301	0.5770787748
141	0.7426336213	0.5769368807
142	0.7427631295	0.5766953605
143	0.7428686547	0.5764902621
144	0.7429262139	0.576348523
145	0.7430221459	0.576161955
146	0.7431804337	0.5758143929
147	0.7431276711	0.5756742496
148	0.7432427895	0.5755665363
149	0.7432859589	0.575426479
150	0.7433962807	0.575207284
151	0.7434778229	0.5750726058
152	0.7435881447	0.5748507949
153	0.7436409073	0.5746328284
154	0.7435977379	0.5744576402
155	0.7437560257	0.574346703
156	0.7437943985	0.5741537731
157	0.7437991951	0.5739471976
158	0.7439191101	0.5737947277
159	0.7439478897	0.5736189608
160	0.7441061775	0.5734328244
161	0.7442596687	0.573267714
162	0.7443556008	0.5731032432
163	0.7443508042	0.5730138571
164	0.7444179566	0.5729035134
165	0.7445618546	0.5727280588
166	0.7446577866	0.5725543674
167	0.7446913628	0.5724463429
168	0.7447201424	0.5723450319
169	0.744700956	0.5722097554
170	0.744772905	0.572150961
171	0.7447872948	0.5720212988
172	0.7449359894	0.5719143936
173	0.7449839554	0.5718203092
174	0.745060701	0.5716274249
175	0.7450894806	0.5715325097
176	0.7451854126	0.5713279092
177	0.745348497	0.5711657177
178	0.745420446	0.5710853934
179	0.745396463	0.5709893712
180	0.7455019882	0.5708172956
181	0.7455067848	0.5707116471
182	0.7456794624	0.5705987349
183	0.7457418182	0.5703914824
184	0.7458089706	0.5702851341
185	0.7458569366	0.5701255852
186	0.7460392074	0.5699780136
187	0.7461063598	0.5698354333
188	0.746211885	0.5697174852
189	0.7462214782	0.5696260194
190	0.7463318	0.5694659986
191	0.7464085456	0.5692569597
192	0.746667562	0.5690226665
193	0.746667562	0.568932443
194	0.7467107314	0.5688559201
195	0.7466819518	0.5687445467
196	0.7466963416	0.5686527563
197	0.7467682906	0.5685074788
198	0.746739511	0.5683690926
199	0.746787477	0.5682258701
200	0.7467922736	0.5680766497
201	0.7467586974	0.5678989022
202	0.7468018668	0.5678056279
203	0.7467203246	0.5677270072
204	0.7468546294	0.5675999965
205	0.7469457648	0.5674684056
206	0.7470177138	0.5673248072
207	0.7471424254	0.5671898182
208	0.7471520186	0.5670554025
209	0.7472383575	0.5669392395
210	0.7472143745	0.5668418009
211	0.7473342895	0.5667227862
212	0.7475837127	0.5665200472
213	0.7477276107	0.566363213
214	0.7478235427	0.5662587956
215	0.7478043563	0.566181593
216	0.7478906951	0.5660112702
217	0.7478667121	0.5659008345
218	0.7479866271	0.5657468008
219	0.7479866271	0.5656825059
220	0.7479434577	0.5655445989
221	0.7479674407	0.5653754202
