feature,importance_gain,importance_split
geo3_emb_0,23149.11151561141,5691
geo3_emb_39,23136.16862025857,5630
geo3_emb_10,23101.76025366783,5735
geo3_emb_28,23051.818993777037,5747
geo3_emb_19,22975.305608153343,5710
geo3_emb_43,22874.36207255721,5621
geo3_emb_2,22867.216444522142,5694
count_families,22824.20911616087,3248
geo3_emb_31,22654.108128488064,5638
geo3_emb_42,22606.98838046193,5678
geo3_emb_16,22599.68734115362,5670
geo3_emb_33,22578.58601862192,5758
geo3_emb_11,22552.938631117344,5532
geo3_emb_17,22492.174552232027,5605
geo3_emb_7,22124.097796022892,5543
geo3_collapse_x_foundation_i,19280.97291442752,1266
geo1_emb_6,19273.384274184704,1552
material_strength_score,17158.438199341297,702
geo2_emb_22,17075.848868846893,3898
geo2_emb_32,16854.279830932617,3835
geo2_emb_46,16822.598330795765,3984
geo2_emb_48,16778.167682349682,3891
geo2_emb_4,16747.386249542236,3891
geo2_emb_35,16648.056130230427,3813
geo2_emb_3,16610.637673914433,3755
geo2_emb_40,16567.660791873932,3793
geo2_emb_42,16429.279123544693,3797
geo2_emb_14,16420.05112886429,3698
geo2_emb_43,16390.59710150957,3605
geo2_emb_16,16367.456191122532,3516
geo2_emb_31,16259.87265521288,3687
geo2_emb_28,16211.433523535728,3677
geo2_emb_23,16173.635767996311,3705
geo2_emb_34,16162.240406900644,3628
geo2_emb_27,16094.185898721218,3616
geo2_emb_0,16071.044858634472,3665
geo2_emb_36,16041.213459283113,3576
geo2_emb_11,16030.983917713165,3759
geo2_emb_12,16015.422843158245,3663
geo2_emb_20,16014.35584717989,3733
geo2_emb_13,16012.162418097258,3611
geo2_emb_45,15961.504155099392,3731
geo2_emb_47,15807.618834078312,3732
geo2_emb_24,15789.674309909344,3659
geo2_emb_25,15761.565558463335,3778
geo2_emb_1,15752.24050733447,3631
geo2_emb_5,15748.069312930107,3669
geo2_emb_44,15733.760865539312,3795
geo2_emb_10,15716.487426966429,3470
geo2_emb_49,15704.541081100702,3623
geo2_emb_41,15687.325123488903,3601
geo2_emb_39,15677.15181028843,3620
geo2_emb_21,15669.842270433903,3664
geo2_emb_26,15618.839185923338,3622
geo2_emb_9,15604.511050790548,3539
foundation_emb_1,15575.510645091534,919
has_superstructure_mud_mortar_stone,15574.115495920181,835
geo2_emb_33,15571.74427807331,3533
geo2_emb_8,15496.244977355003,3573
geo2_emb_18,15479.67225676775,3619
geo2_emb_6,15391.613916575909,3642
geo2_emb_29,15178.257092624903,3597
geo2_emb_38,15068.606237024069,3549
geo2_emb_37,14996.045624017715,3522
geo2_emb_19,14947.30981528759,3504
geo2_emb_15,14896.885492742062,3421
geo2_emb_2,14866.497263133526,3569
geo3_collapse_x_foundation_u,14851.775261342525,3059
geo2_emb_17,14831.240472823381,3517
geo2_emb_30,14710.280975341797,3390
has_strong_material,14652.760058104992,539
geo2_emb_7,14443.673220545053,3449
has_weak_material,11999.74102038145,138
geo3_collapse_x_foundation_w,11452.539927750826,2937
roof_emb_1,11093.695707082748,875
geo3_collapse_x_rc,10941.695930242538,2017
n_superstructure_types,9795.521675884724,1958
geo1_emb_9,8793.721827149391,1381
has_secondary_use,8507.975235462189,883
geo1_emb_5,8249.410917937756,1352
geo1_emb_11,8249.106530100107,1250
geo1_emb_4,7821.861622869968,1343
has_superstructure_mud_mortar_brick,7798.876880407333,484
geo1_emb_2,7127.50595331192,1341
geo1_emb_14,7039.2918446063995,1083
other_floor_emb_1,6713.931782990694,938
position_emb_0,6688.035611212254,1285
geo1_emb_10,6624.955120146275,1096
geo1_emb_7,6138.3549002707,1126
geo1_emb_0,6132.434000790119,1169
geo1_emb_12,6107.761327385902,1173
geo1_emb_13,6067.894598484039,1058
roof_emb_0,6064.578810334206,975
geo1_emb_3,5977.5909188985825,1166
geo1_emb_1,5916.05121254921,1090
has_superstructure_cement_mortar_brick,5836.5168689489365,380
geo1_emb_8,5570.225342988968,1073
geo1_emb_15,5001.877581715584,939
count_floors_pre_eq,4962.149158060551,1024
foundation_emb_2,4606.607367038727,830
position_emb_1,4257.683420300484,955
position_emb_2,4177.165708750486,1017
other_floor_emb_2,3963.4060639441013,701
has_superstructure_stone_flag,3880.4156020879745,307
ground_emb_0,3370.834646821022,723
land_emb_0,3265.6281249523163,792
has_superstructure_rc_engineered,3224.040437579155,385
plan_emb_2,3043.044396877289,625
plan_emb_0,2967.926308810711,572
has_superstructure_other,2488.0002709031105,355
plan_emb_1,2211.096347928047,578
has_rc,2117.720981359482,114
has_superstructure_timber,2060.7449080348015,409
land_emb_1,1930.8102194070816,449
ownership_emb_1,1845.5012702941895,417
has_secondary_use_agriculture,1768.9854112267494,286
ownership_emb_0,1707.671548962593,375
plan_emb_4,1691.5600066184998,349
plan_emb_3,1463.2770956754684,368
has_secondary_use_hotel,1211.8860906362534,212
has_superstructure_adobe_mud,1120.956397652626,232
has_secondary_use_rental,879.2736686468124,218
has_superstructure_bamboo,785.1241922974586,143
has_superstructure_cement_mortar_stone,750.2606523633003,157
ownership_emb_2,649.3636120557785,139
has_secondary_use_other,569.7837498188019,144
age_unknown,565.7013804912567,142
has_superstructure_rc_non_engineered,442.06073319911957,48
has_secondary_use_industry,400.7270770072937,91
has_secondary_use_institution,129.95004963874817,45
has_secondary_use_school,17.82004988193512,9
has_secondary_use_health_post,0.0,0
has_secondary_use_use_police,0.0,0
has_secondary_use_gov_office,0.0,0
