feature,importance_gain,importance_split
geo3_collapse_x_foundation_r,650857.0633446872,11951
geo3_p_grade2,436649.0414927602,21374
geo3_p_grade1,425647.2775115073,13760
geo3_collapse_x_weak_material,360598.2320013344,10793
geo3_p_grade3,245554.43891254067,13475
geo2_p_grade1,169545.52187508345,10415
geo2_p_grade3,140431.05535456538,10088
age_x_height,120405.08225381374,28368
geo2_p_grade2,108898.58027720451,10757
age,102268.37351086736,14899
area_x_floors,90778.48595559597,25163
area_percentage,64172.60294210911,18619
geo1_p_grade3,59084.218968093395,6917
ground_emb_1,50198.17110538483,1274
floors_x_height,36010.98781889677,10002
other_floor_emb_0,35782.380447268486,1277
geo1_p_grade2,35474.87132751942,8285
geo1_p_grade1,34523.48083266616,7413
foundation_emb_0,28685.80512648821,659
geo3_emb_47,25956.340896487236,6193
ground_emb_2,25878.220776617527,921
geo3_emb_22,25676.101737201214,6167
geo3_emb_35,25310.904541522264,6078
geo3_emb_24,25150.0390971303,6156
geo3_emb_18,25023.915694206953,6113
geo3_emb_14,24626.260403454304,6017
geo3_emb_49,24492.40160021186,6026
geo3_emb_29,24429.847865134478,6044
geo3_emb_38,24340.656737089157,5982
geo3_emb_3,24281.39602971077,6021
geo3_emb_30,24273.642757236958,5984
geo3_emb_46,24264.291143089533,5922
geo3_emb_40,24231.793182581663,6041
geo3_emb_32,24128.60949420929,6038
geo3_emb_27,24043.371953725815,5809
geo3_emb_26,24027.86641162634,5921
geo3_emb_48,24024.517800033092,5963
geo3_emb_4,23993.85702252388,5788
geo3_emb_36,23965.347966969013,5864
geo3_emb_8,23934.89269709587,5863
geo3_emb_20,23917.87346622348,5906
geo3_emb_37,23904.799359977245,5861
geo3_emb_41,23904.510527849197,5903
geo3_emb_21,23850.299637526274,5798
geo3_emb_45,23750.90773308277,5808
geo3_emb_25,23715.41892617941,5853
geo3_emb_9,23660.398144096136,5883
geo3_emb_5,23648.449552714825,5885
geo3_emb_1,23560.858417868614,5826
geo3_emb_34,23535.278368532658,5882
geo3_emb_13,23442.442441493273,5781
geo3_emb_23,23403.91875502467,5918
geo3_emb_12,23364.583983302116,5801
geo3_emb_44,23336.35283407569,5721
geo3_emb_6,23269.008565723896,5795
geo3_emb_15,23268.356848031282,5772
height_percentage,23233.951421111822,6443
