feature,importance_gain,importance_split
geo_3_enc,1086573.4018675685,247621
geo_2_enc,964847.099606961,239684
geo_1_enc,494503.2087736726,175358
area_percentage,207583.81021174788,109014
foundation_type_r,202559.85709747672,1361
age,201932.67937085032,75147
height_percentage,111698.34939989448,50957
has_superstructure_mud_mortar_stone,89425.67597678304,2330
ground_floor_type_v,75950.07474073768,1358
roof_type_x,48420.758373081684,1327
count_floors_pre_eq,33381.61211153865,9739
foundation_type_i,29702.46930512786,897
count_families,26512.17028784752,8622
has_superstructure_cement_mortar_brick,22429.984992027283,2016
other_floor_type_q,19270.956750810146,1309
has_superstructure_mud_mortar_brick,9690.641459137201,1228
has_secondary_use,9434.13526815176,1933
has_superstructure_timber,8067.743837207556,1855
position_s,8001.569106668234,2126
has_superstructure_adobe_mud,7937.557640522718,1307
has_superstructure_stone_flag,7772.168490111828,1102
roof_type_q,7351.0254918932915,1522
foundation_type_w,6275.703219562769,912
land_surface_condition_t,5773.556001484394,1456
foundation_type_u,5582.875286966562,939
other_floor_type_s,5581.2374058663845,774
has_superstructure_cement_mortar_stone,5326.32157856226,1132
has_superstructure_other,5086.07039386034,975
ground_floor_type_x,4798.46528878808,1368
has_superstructure_rc_engineered,4404.352516293526,647
has_secondary_use_agriculture,4081.5411839187145,1149
other_floor_type_x,3989.705248504877,1016
has_superstructure_bamboo,3803.8141816556454,1134
plan_configuration_u,3361.9815633893013,863
has_superstructure_rc_non_engineered,3206.449413061142,743
position_t,2776.3282060325146,1075
legal_ownership_status_v,2717.1006167531013,890
has_secondary_use_hotel,2532.7165967822075,799
land_surface_condition_o,2371.8727534413338,869
plan_configuration_q,2271.574102640152,793
plan_configuration_d,1743.8690405488014,622
age_unknown,1680.4950890243053,580
has_secondary_use_other,1671.269959807396,491
has_secondary_use_rental,1501.9165255725384,517
ground_floor_type_z,1393.6496810615063,443
legal_ownership_status_w,1213.4741670489311,489
legal_ownership_status_r,925.0533416867256,392
position_o,709.2626574337482,341
ground_floor_type_m,665.6590395569801,333
has_secondary_use_industry,568.6956872045994,275
plan_configuration_c,544.1696568727493,282
plan_configuration_s,298.2585406899452,230
plan_configuration_o,283.13866436481476,185
has_secondary_use_institution,280.8476845026016,195
has_secondary_use_school,110.91332137584686,86
plan_configuration_m,14.42757910490036,15
has_secondary_use_health_post,5.7492459416389465,7
plan_configuration_f,0.0,0
plan_configuration_n,0.0,0
has_secondary_use_gov_office,0.0,0
has_secondary_use_use_police,0.0,0
