feature,importance_gain,importance_split
geo3_collapse_x_foundation_r,645701.1597928107,11936
geo3_p_grade2,437934.3305621445,21806
geo3_p_grade1,427255.3728014827,14034
geo3_collapse_x_weak_material,357816.4558261931,10953
geo3_p_grade3,248870.43946781754,13696
geo2_p_grade1,172075.8568134308,10591
geo2_p_grade3,140564.1812567711,10056
age_x_height,122755.42420321703,29147
geo2_p_grade2,109544.69775035977,11097
age,103980.55020448565,15128
area_x_floors,91658.04229465127,25808
area_percentage,64289.03686353564,18981
geo1_p_grade3,62706.51600819826,7033
roof_emb_1,50403.61668282747,1599
ground_emb_0,40035.90767091513,1076
floors_x_height,36838.86413085461,10161
geo1_p_grade1,35692.57859805226,7510
geo1_p_grade2,35482.35067296028,8407
other_floor_emb_1,32170.374797344208,951
foundation_emb_0,26673.791016042233,713
geo3_emb_23,25819.859831899405,6204
geo3_emb_2,25659.236606419086,6111
geo3_emb_14,25501.04871121049,6266
geo3_emb_22,24873.16579604149,6274
geo3_emb_35,24849.34057098627,6019
geo3_emb_4,24631.3126232028,6034
geo3_emb_40,24614.89473247528,5974
geo3_emb_20,24422.816424548626,6082
geo3_emb_13,24368.589076191187,5979
geo3_emb_10,24353.79973384738,5955
geo3_emb_39,24350.912363618612,6079
geo3_emb_24,24320.51432314515,5990
geo3_emb_45,24265.667128682137,6088
geo3_emb_34,24248.246514201164,6050
geo3_emb_7,24112.46871712804,5906
geo3_emb_8,24103.20310536027,6047
geo3_emb_46,24056.344097971916,5975
geo3_emb_21,24031.59178698063,5932
geo3_emb_37,23990.703343838453,5897
geo3_emb_9,23984.525843411684,5920
geo3_emb_36,23912.73955181241,6044
geo3_emb_12,23837.163966596127,5945
geo3_emb_42,23801.46156668663,5820
geo3_emb_33,23799.158596605062,5954
geo3_emb_1,23785.88884538412,5829
geo3_emb_32,23770.685099601746,5930
height_percentage,23752.586694687605,6553
geo3_emb_15,23741.879795521498,5908
geo3_emb_18,23686.567029058933,5898
geo3_emb_26,23677.73890772462,5955
geo3_emb_5,23656.83312690258,5935
geo3_emb_6,23558.440022438765,5932
geo3_emb_38,23489.35239109397,5858
geo3_emb_25,23449.85136064887,5815
geo3_emb_28,23437.054204821587,5762
geo3_emb_47,23420.935569673777,5868
geo3_emb_43,23356.345920175314,5775
geo3_emb_19,23314.56479626894,5875
geo3_emb_41,23279.87648510933,5827
count_families,23260.475780814886,3367
geo3_emb_29,23217.851525068283,5862
geo3_emb_49,23172.494631290436,5794
geo3_emb_3,23160.37953019142,5753
geo3_emb_44,22988.336193442345,5633
geo3_emb_48,22950.038323879242,5689
geo3_emb_11,22949.307224154472,5764
geo3_emb_0,22809.149719566107,5755
geo3_emb_31,22792.498728752136,5762
geo3_emb_16,22745.229388833046,5689
geo3_emb_27,22574.84043240547,5764
geo3_emb_17,22449.747787594795,5693
geo3_emb_30,22222.7403755486,5643
geo2_emb_48,19202.875893056393,4128
geo2_emb_16,17355.160601258278,3915
geo2_emb_39,16884.5414904356,3817
geo2_emb_9,16775.1858869195,3776
geo2_emb_14,16635.963283151388,3796
geo2_emb_4,16580.61887398362,3875
geo2_emb_21,16547.15319699049,3707
geo2_emb_17,16397.90946099162,3792
geo2_emb_10,16375.246574699879,3698
geo2_emb_31,16363.406503081322,3717
material_strength_score,16277.782472342253,662
geo2_emb_32,16263.586509406567,3703
