feature,importance_gain,importance_split
geo2_emb_34,16232.914888560772,3731
geo2_emb_5,16136.177819609642,3740
geo2_emb_26,16094.791952431202,3673
geo2_emb_13,16091.810672581196,3756
has_superstructure_mud_mortar_stone,16027.285394132137,804
geo2_emb_25,16006.653176903725,3735
geo2_emb_30,15933.562742650509,3811
geo2_emb_2,15892.67453378439,3646
geo2_emb_41,15872.684434771538,3640
geo2_emb_22,15866.930518209934,3712
geo2_emb_40,15859.208769023418,3662
geo2_emb_6,15813.942107081413,3811
geo2_emb_27,15773.800163716078,3671
geo2_emb_12,15773.24828544259,3689
geo2_emb_44,15765.050208449364,3809
geo2_emb_24,15759.484668672085,3738
geo2_emb_7,15743.137682676315,3744
geo2_emb_0,15726.007068037987,3605
geo2_emb_35,15689.511074185371,3655
geo2_emb_23,15625.863655239344,3652
geo2_emb_8,15602.093307733536,3571
geo2_emb_36,15590.380775213242,3625
geo2_emb_20,15578.570422708988,3676
geo2_emb_3,15533.202347815037,3717
geo2_emb_15,15464.739772826433,3642
foundation_emb_1,15462.832228004932,801
geo2_emb_19,15395.963114500046,3609
geo2_emb_11,15292.609367698431,3631
geo2_emb_18,15274.451713204384,3494
geo2_emb_46,15193.925859570503,3523
geo3_collapse_x_foundation_i,15162.658555448055,1355
geo2_emb_38,15079.085007458925,3562
geo2_emb_43,15067.119685947895,3484
geo2_emb_29,14989.085942268372,3542
geo2_emb_45,14904.555360943079,3518
geo2_emb_28,14771.66645103693,3498
geo2_emb_1,14747.229737102985,3516
geo3_collapse_x_foundation_u,14707.616359889507,3141
geo2_emb_47,14568.644785165787,3434
ground_emb_1,14400.053556501865,974
geo2_emb_49,14332.87195700407,3346
geo2_emb_42,14315.64700549841,3391
geo2_emb_33,14293.077224493027,3405
has_strong_material,14180.06310904026,542
geo2_emb_37,13904.677675396204,3327
geo3_collapse_x_foundation_w,12295.05301040411,3026
geo1_emb_13,10735.746964424849,1639
n_superstructure_types,9679.388093531132,1890
geo3_collapse_x_rc,9614.356086820364,1985
has_weak_material,9163.22335600853,133
has_secondary_use,8770.646728515625,915
geo1_emb_2,8228.849146872759,1495
other_floor_emb_0,7799.721257030964,980
geo1_emb_12,7683.903734445572,1248
geo1_emb_4,7660.099984526634,1117
has_superstructure_mud_mortar_brick,7640.0723131895065,489
geo1_emb_1,7555.3755214214325,1261
geo1_emb_5,7427.653685212135,1360
geo1_emb_10,7387.2672963142395,1191
geo1_emb_11,7332.546230792999,1270
geo1_emb_15,7122.148200333118,1033
position_emb_0,7041.488749861717,1299
geo1_emb_9,6914.345224797726,1159
geo1_emb_14,6733.299472987652,1093
geo1_emb_8,6487.770172923803,1080
geo1_emb_6,6197.489089071751,1128
position_emb_2,6041.877005815506,1297
geo1_emb_7,5975.841468065977,1113
has_superstructure_cement_mortar_brick,5918.105388522148,365
geo1_emb_3,5832.092583745718,983
foundation_emb_2,5502.26202327013,421
other_floor_emb_2,5063.679994940758,799
geo1_emb_0,4726.371350586414,880
count_floors_pre_eq,4613.4299891889095,984
plan_emb_0,4069.402726739645,699
has_superstructure_stone_flag,3943.9466047286987,327
ground_emb_2,3852.669632732868,725
has_superstructure_rc_engineered,3132.8267595767975,374
land_emb_0,3014.744559943676,727
has_superstructure_other,2555.060044527054,378
land_emb_1,2505.591674566269,604
plan_emb_3,2397.7499812841415,592
plan_emb_4,2309.622529387474,574
has_superstructure_timber,2128.3982630968094,438
ownership_emb_1,2059.257100224495,461
has_secondary_use_agriculture,1746.6990257501602,307
has_superstructure_adobe_mud,1256.4330221414566,251
has_rc,1233.4745439291,112
ownership_emb_0,1199.3085932731628,276
plan_emb_1,1172.3655543327332,252
plan_emb_2,1028.3585150837898,230
has_secondary_use_hotel,1023.042991399765,191
has_secondary_use_rental,1016.7914305925369,249
ownership_emb_2,963.8488314151764,223
has_superstructure_bamboo,875.6627510786057,152
has_superstructure_cement_mortar_stone,787.513901591301,166
has_secondary_use_other,659.4739810228348,167
age_unknown,577.7766700983047,145
has_secondary_use_industry,333.8544578552246,83
has_superstructure_rc_non_engineered,279.81747114658356,50
has_secondary_use_institution,150.2891401052475,51
has_secondary_use_school,23.364850163459778,9
roof_emb_0,0.0,0
position_emb_1,0.0,0
has_secondary_use_health_post,0.0,0
has_secondary_use_gov_office,0.0,0
has_secondary_use_use_police,0.0,0
