feature,importance_gain,importance_split
geo_3_enc,294816.9383980036,7032
geo_2_enc,167901.8329909444,6663
geo_1_enc,62641.2858171463,5130
ground_floor_type_v,23479.725389122963,296
age,19636.460722088814,3525
area_percentage,17139.611699402332,3668
roof_type_x,15365.389831840992,205
height_percentage,10200.3660338521,2406
has_superstructure_mud_mortar_stone,6524.4902420043945,600
has_superstructure_cement_mortar_brick,6301.769582808018,341
count_floors_pre_eq,5738.714104056358,949
foundation_type_r,5370.368737101555,393
foundation_type_i,4539.749940216541,158
count_families,3543.026211619377,724
has_secondary_use,3421.1756719350815,385
roof_type_q,3151.1013087034225,622
has_superstructure_timber,2999.8616594076157,615
other_floor_type_q,2467.2286344766617,476
position_s,2285.6182195544243,437
land_surface_condition_t,1739.324584722519,428
has_superstructure_adobe_mud,1738.7463802099228,367
has_superstructure_cement_mortar_stone,1677.4018297195435,227
other_floor_type_x,1490.71447879076,377
has_superstructure_mud_mortar_brick,1483.109954237938,276
has_superstructure_bamboo,1447.833858013153,325
ground_floor_type_x,1441.1637308597565,334
has_superstructure_stone_flag,1368.6405602693558,258
position_t,1328.5498530864716,327
plan_configuration_u,1240.2927035093307,147
foundation_type_w,977.5804687738419,169
has_secondary_use_agriculture,971.2331432104111,199
legal_ownership_status_v,965.3516311645508,201
foundation_type_u,883.2171190977097,193
has_superstructure_rc_non_engineered,762.1122297644615,165
has_superstructure_other,689.375424683094,143
has_secondary_use_hotel,667.4483389854431,147
other_floor_type_s,601.4648284912109,111
plan_configuration_q,528.3210133314133,116
land_surface_condition_o,493.7704520225525,119
plan_configuration_d,492.83459228277206,125
legal_ownership_status_w,393.14785039424896,80
legal_ownership_status_r,319.56371009349823,71
has_secondary_use_other,297.75621950626373,59
position_o,255.29296827316284,67
has_superstructure_rc_engineered,217.77826261520386,56
has_secondary_use_rental,172.47327995300293,51
ground_floor_type_m,150.91716837882996,32
age_unknown,140.75285404920578,44
plan_configuration_c,115.91136431694031,33
ground_floor_type_z,113.75638890266418,32
plan_configuration_o,80.4513213634491,29
has_secondary_use_industry,63.00906991958618,18
has_secondary_use_institution,54.09392952919006,21
has_secondary_use_health_post,19.62418007850647,8
plan_configuration_s,14.146179795265198,6
has_secondary_use_school,6.708810210227966,3
plan_configuration_m,1.2016299962997437,1
has_secondary_use_gov_office,0.0,0
has_secondary_use_use_police,0.0,0
plan_configuration_n,0.0,0
plan_configuration_f,0.0,0
